route,tag,completed_cycles,hot_bottom_pN,cold_bottom_pN,hot_side_pN,cold_side_pN,Z_cold_N,Gini_cold_N,survival_N,work_total
s31001,a050_mu010_g002,10,166.0684802214161,1081.7570881765685,2.3314404145830685,3.0801431962618677,5.40334367804585,0.4159750375636709,0.8381896465405027,0.0057517845784793
s31002,a050_mu010_g002,10,157.67509310141995,910.584452621941,1.9059068080426456,2.440195273627946,5.500351017952061,0.4209552997093623,0.8395989156351047,0.0023681745713103
s31003,a050_mu010_g002,10,181.28331775328903,991.883360819112,6.8121657931728485,2.220385939406673,5.474844658248146,0.418557757255882,0.8411998815906325,0.0036950426133808
s31001,a050_mu060_g002,10,421.04054536973103,791.4820748830409,18.751401068141707,5.817457763183457,5.281209330263289,0.4353142387033816,0.8425159451757362,0.0024680719616026
s31002,a050_mu060_g002,10,444.97861758849064,808.8595688101899,25.739134875388626,7.021254826446888,5.311603650586702,0.4480147513054835,0.8409822866344605,0.0023539792944584
s31003,a050_mu060_g002,10,403.14505211540944,851.1624702300961,17.12705752950923,4.977631819281953,5.269993986770896,0.4448662659299919,0.8324540475150375,0.0015933010973965
s31001,a100_mu030_g002,10,106.93357722455907,315.0675461763344,5.994340809411832,1.1562713722117774,3.9084993492842126,0.5087861066696246,0.610306583780729,0.0080534100915209
s31002,a100_mu030_g002,10,180.46205875177932,285.9735850680591,4.973255678034104,0.7781452169850318,3.928191756092669,0.5083710308820482,0.6077790660904395,0.0050045043677277
s31003,a100_mu030_g002,10,151.82181947003048,313.92236084111136,5.470734432006951,1.838918326118652,3.9342553617959513,0.5110122237316965,0.6106554479247684,0.0038892883172812
s31001,a100_mu060_g000,10,432.2446355379389,286.46027810973993,24.75368489621844,1.67868559672394,3.750300360432519,0.5288623442937951,0.5919253072686823,0.0041449206571633
s31002,a100_mu060_g000,10,521.0270123486425,252.29364631071775,29.664942214820705,1.3560813970314705,3.84454919265871,0.5255562710623921,0.605841537399644,0.0036081740171786
s31003,a100_mu060_g000,10,329.08088611978224,279.65347960447684,14.267764291640304,0.5610466113143571,3.642177007116368,0.5098944600425129,0.5699942627653471,0.0039972646696519
s31001,a150_mu010_g002,10,56.8326374623525,224.13243084217564,3.31373986017517,4.136609178277921,3.159675643207528,0.5885629422657725,0.4887916474742822,0.0140519101005627
s31002,a150_mu010_g002,10,65.60166397502108,200.81128516776872,4.7257863640436915,1.3341843275884528,3.210911643766924,0.6026633216057388,0.4918920981342287,0.0101274980269675
s31003,a150_mu010_g002,10,75.75842186730473,215.76336837003757,2.838329253361104,2.41100547104577,3.162958508719182,0.5897272471332698,0.4861992507072406,0.0120395359573666
s31001,a150_mu060_g020,10,654.7961460151066,164.25572448451172,32.32419360936131,1.9831266073775995,2.9996996696366,0.5463896347955333,0.47490738935465,0.0098099766778775
s31002,a150_mu060_g020,10,635.5203174285831,171.85689282666965,28.395815650826957,1.752132076784621,2.94995486912045,0.5819484572367636,0.4614347357065804,0.00942150446103
s31003,a150_mu060_g020,10,618.0430153914127,186.9578549272546,33.61674517971169,0.7303757347100724,3.113249148125877,0.5486640700343477,0.4906954344057022,0.0079708084080415
