model,feature,lag_cycles,mean_coefficient,sd_coefficient
amplitude-buffer kernel,amplitude_z_lag0,0,0.06323858178315057,0.19312020058786833
amplitude-buffer kernel,amplitude_z_lag1,1,-0.16046994077582757,0.12166370234279983
amplitude-buffer kernel,amplitude_z_lag2,2,0.04840667437216497,0.11729243517927652
amplitude-buffer kernel,amplitude_z_lag3,3,-0.11325613060223583,0.11794241895109708
amplitude-buffer kernel,amplitude_z_lag4,4,0.07823251536456213,0.03900795418656075
amplitude-buffer kernel,buffer_z_lag0,0,-0.14704089731028164,0.15499445239439288
amplitude-buffer kernel,buffer_z_lag1,1,0.0028966279229026746,0.06618146111635027
amplitude-buffer kernel,buffer_z_lag2,2,-0.0948860875391087,0.05881552987531006
amplitude-buffer kernel,buffer_z_lag3,3,-0.0013511425759745951,0.027592104904193837
amplitude-buffer kernel,buffer_z_lag4,4,0.0049694990801118066,0.027053956093601565
hazard kernel,hazard_z_lag0,0,0.28222688834512494,0.2855749126110733
hazard kernel,hazard_z_lag1,1,-0.11551420489541982,0.146973734332048
hazard kernel,hazard_z_lag2,2,0.17722836264705374,0.07461601394663116
hazard kernel,hazard_z_lag3,3,-0.054155953564300786,0.08322056959549926
hazard kernel,hazard_z_lag4,4,0.08239295018506014,0.060795736184478394
loop kernel,loop_z_lag0,0,0.3940774080755582,0.15951354332535866
loop kernel,loop_z_lag1,1,-0.0007935369463375844,0.1348990262037283
loop kernel,loop_z_lag2,2,0.09189849513942035,0.07392500478926699
loop kernel,loop_z_lag3,3,-0.0701550651169602,0.0011768311848050236
loop kernel,loop_z_lag4,4,0.09291028607767299,0.1117722594364452
loop plus hazard kernel,hazard_z_lag0,0,-0.01548623606009697,0.222270761376092
loop plus hazard kernel,hazard_z_lag1,1,0.00328701335711613,0.03861345395754017
loop plus hazard kernel,hazard_z_lag2,2,0.061619266968030884,0.03851862342172055
loop plus hazard kernel,hazard_z_lag3,3,-0.005314729168737421,0.05166316240921994
loop plus hazard kernel,hazard_z_lag4,4,0.11899733697698134,0.13262198807336315
loop plus hazard kernel,loop_z_lag0,0,0.39471359604537276,0.34066495852517387
loop plus hazard kernel,loop_z_lag1,1,-0.03328749759242098,0.08433084909548248
loop plus hazard kernel,loop_z_lag2,2,0.020608490400077808,0.12739030569379814
loop plus hazard kernel,loop_z_lag3,3,-0.10276367013997645,0.10691092158540952
loop plus hazard kernel,loop_z_lag4,4,-0.03559168988241094,0.2112129047098205
tail kernel,tail_z_lag0,0,-0.008316358461358128,0.18510000445725022
tail kernel,tail_z_lag1,1,0.1232556087904731,0.14978681933328075
tail kernel,tail_z_lag2,2,-0.10029630017855386,0.09923569004969343
tail kernel,tail_z_lag3,3,0.12633476869728635,0.14010762741657232
tail kernel,tail_z_lag4,4,-0.138186526938254,0.08356609883569989
