predictor,lag_cycles,n,observed_spearman,phase_matched_p,phase_null_q025,phase_null_q975
loop,0,87,0.8520816114220927,0.00039984006397441024,0.29505733238522297,0.5892491924826394
loop,1,84,-0.23690291065471067,1.0,-0.6140027807212177,-0.36805274166509966
loop,2,81,0.783347034835023,0.00039984006397441024,0.36816608734000905,0.6421459644661665
loop,3,78,-0.31705074216692564,0.9992003198720512,-0.6235303342632679,-0.38903211077395455
loop,4,75,0.7515826808935506,0.00039984006397441024,0.38383624667427624,0.6451971308476098
loop,5,72,-0.3465051547250843,1.0,-0.6356188059991073,-0.4165942559307413
loop,6,69,0.7119711560501322,0.0007996801279488205,0.3735866010874883,0.6318404275761013
hazard,0,87,0.7004629292119268,0.00039984006397441024,0.13028313406721584,0.45692799081431795
hazard,1,84,0.009375316391616888,1.0,-0.47907866761162293,-0.1848638250480915
hazard,2,81,0.736743450767841,0.00039984006397441024,0.1952168021680217,0.5005606368563685
hazard,3,78,-0.04068083814919258,1.0,-0.49054616269806145,-0.2091629889098243
hazard,4,75,0.6693029871977241,0.00039984006397441024,0.18870199146514938,0.4969331436699858
hazard,5,72,-0.1032220721589813,1.0,-0.5164295131519713,-0.24097048041674693
hazard,6,69,0.5985385458531239,0.00039984006397441024,0.1665144318597004,0.4531786627694557
amplitude,0,87,0.521415032441496,0.07077169132347061,0.29715271196325727,0.5521246446015893
amplitude,1,84,-0.46271134960008103,0.6685325869652139,-0.6092224359623368,-0.37007239040194384
amplitude,2,81,0.5119015356820236,0.3626549380247901,0.3613996160794941,0.6128308491418247
amplitude,3,78,-0.4957194704030147,0.5737704918032787,-0.6265411803386487,-0.3894162799226089
amplitude,4,75,0.5573826458036983,0.2746901239504198,0.4015412517780938,0.6393001422475106
amplitude,5,72,-0.4965592642613674,0.6205517792882846,-0.6269221493343624,-0.40084892919158793
amplitude,6,69,0.5631713554987213,0.22910835665733706,0.39060467665327003,0.6421702594081112
buffer,0,87,-0.4773091783917766,0.00039984006397441024,-0.26952686447473934,0.08954536341765695
buffer,1,84,-0.2599777260301711,0.0351859256297481,-0.062256758124936716,0.2752895616077757
buffer,2,81,-0.487646793134598,0.00039984006397441024,-0.2552794715447154,0.08227359981933174
buffer,3,78,-0.21938820672997886,0.11555377848860456,-0.047499968386044325,0.27916450637969625
buffer,4,75,-0.3588051209103841,0.00039984006397441024,-0.22613300142247508,0.09180583214793757
buffer,5,72,-0.12241944819602549,0.6021591363454618,-0.010081034150106116,0.3106188500868225
buffer,6,69,-0.25791012056996715,0.0023990403838464614,-0.1839450127877238,0.12040646693459996
tail,0,87,-0.32357658380112264,0.47940823670531785,-0.4608747357293868,-0.17494942407231898
tail,1,84,0.43748101650298676,0.14634146341463414,0.23878708109749924,0.4947686544497317
tail,2,81,-0.26476964769647693,0.8872451019592164,-0.4955329719963866,-0.20157802619692858
tail,3,78,0.4720216492368391,0.058776489404238304,0.23160131008232274,0.4972249269717624
tail,4,75,-0.29240398293029873,0.8256697321071571,-0.5097503556187767,-0.21801920341394024
tail,5,72,0.4607048684802882,0.047181127548980406,0.22600890732522994,0.4770773040066887
tail,6,69,-0.3254658385093168,0.6017592962814874,-0.4977173913043479,-0.19501370113262687
