predictor,predictor_column,lag_cycles,n,route_centered_spearman,circular_shift_p,null_q025,null_q975
Psi,dimensionless_loop_number,0,150,0.8930725810036002,,,
Psi,dimensionless_loop_number,1,145,0.32863722248464805,0.27416666666666667,-0.4556235238545111,0.5248633089277278
Psi,dimensionless_loop_number,2,140,0.8007697185716472,0.0,-0.4606012332990751,0.5460799020358169
Psi,dimensionless_loop_number,3,135,0.19476148668422594,0.5275,-0.45659021071115014,0.5216124036679346
Psi,dimensionless_loop_number,4,130,0.6325608706933045,0.0033333333333333335,-0.4568547979625558,0.5274736784607187
Psi,dimensionless_loop_number,5,125,0.04012903225806451,0.9025,-0.46721566820276494,0.5039341013824884
Psi,dimensionless_loop_number,6,120,0.4693520383359955,0.06,-0.4573484269740954,0.5107981457045627
loop activation,loop_activation,0,150,0.8774487755011334,,,
loop activation,loop_activation,1,145,0.2271374586679263,0.5475,-0.48768441977641314,0.5634123563218388
loop activation,loop_activation,2,140,0.8188449848024317,0.0,-0.5109915593361178,0.5328622816032886
loop activation,loop_activation,3,135,0.09785874548824507,0.8591666666666666,-0.5199140327772901,0.5608007755340942
loop activation,loop_activation,4,130,0.6919034808614073,0.0025,-0.5099055019186387,0.5523416952300312
loop activation,loop_activation,5,125,-0.022279569892473115,0.9683333333333334,-0.49605222734254983,0.5276168970814121
loop activation,loop_activation,6,120,0.5703659976387249,0.0225,-0.49939544412806436,0.548298492950899
top-5% tail,top5_activation,0,150,-0.4880128005689142,,,
top-5% tail,top5_activation,1,145,-0.051680837663360096,0.9208333333333333,-0.39169048181388755,0.3527784994489054
top-5% tail,top5_activation,2,140,-0.46764776628545196,0.005833333333333334,-0.36812785637751205,0.37388128403052595
top-5% tail,top5_activation,3,135,0.024617110525802365,0.9575,-0.39828394790752125,0.36488610867232457
top-5% tail,top5_activation,4,130,-0.4559313933004684,0.010833333333333334,-0.37780046156577307,0.37299375930300815
top-5% tail,top5_activation,5,125,0.06551152073732718,0.9041666666666667,-0.3974457757296467,0.36844024577572954
top-5% tail,top5_activation,6,120,-0.4385651781373706,0.02,-0.41535158691575796,0.39174682269602024
cold loop share,force_h1_birth_force_share_cold,0,150,0.06268189697319881,,,
cold loop share,force_h1_birth_force_share_cold,1,145,0.294229255235396,0.1,-0.25557264603999363,0.3901635569201698
cold loop share,force_h1_birth_force_share_cold,2,140,0.04159541667577792,0.8933333333333333,-0.27383984605628575,0.3455401150204452
cold loop share,force_h1_birth_force_share_cold,3,135,0.20169251780314118,0.2816666666666667,-0.2877691200858453,0.3271328406984681
cold loop share,force_h1_birth_force_share_cold,4,130,-0.012997582924797552,0.9608333333333333,-0.2879786696527332,0.30783146021384933
cold loop share,force_h1_birth_force_share_cold,5,125,0.14226728110599077,0.51,-0.2945870967741934,0.30030937019969245
cold loop share,force_h1_birth_force_share_cold,6,120,-0.011278561011181331,0.9708333333333333,-0.304937669282589,0.2860438224876724
