test,min_normalised_mi,median_normalised_mi,max_shift_p,n_bin_settings_with_p_lt_0p05,psi_given_tail_bits,tail_given_psi_bits,ratio
"Psi, lag 0",0.4072442634532289,0.41237370686900837,0.0006662225183211193,4.0,,,
"Psi, lag 2",0.346112288891483,0.37556387413694414,0.0006662225183211193,4.0,,,
"loop activation, lag 0",0.4072442634532289,0.41237370686900837,0.0006662225183211193,4.0,,,
"loop activation, lag 2",0.346112288891483,0.37556387413694414,0.0006662225183211193,4.0,,,
"top-5% tail, lag 0",0.015573102199988705,0.11762514189052169,0.5116588940706196,2.0,,,
"top-5% tail, lag 2",0.029049405545331364,0.06190472231242586,0.45169886742171883,0.0,,,
"cold loop memory, lag 0",0.0011544640047981974,0.034021131190290585,0.866089273817455,0.0,,,
"cold loop memory, lag 2",0.005306204638694162,0.032625750377161984,0.9320453031312458,0.0,,,
"conditional asymmetry lag 0, bins 2",,,,,0.4623556198135147,0.0444382285664086,10.404456584550154
"conditional asymmetry lag 0, bins 3",,,,,0.6264240909928938,0.10359863931061986,6.046644001903211
"conditional asymmetry lag 0, bins 4",,,,,0.8801739437208939,0.37169889734878747,2.3679756652465223
"conditional asymmetry lag 0, bins 5",,,,,0.940235508253588,0.4806166157018341,1.9563108671983434
"conditional asymmetry lag 2, bins 2",,,,,0.43162257249801356,0.014179243498070277,30.440451393387466
"conditional asymmetry lag 2, bins 3",,,,,0.5252918626979339,0.04458298757986345,11.782338762223048
"conditional asymmetry lag 2, bins 4",,,,,0.8486578699439395,0.20063656636684077,4.22982652320847
"conditional asymmetry lag 2, bins 5",,,,,0.8925168220831867,0.33613759239283447,2.655212752997075
