series,lag_cycles,pooled_spearman,route_mean_spearman,route_min_spearman,route_max_spearman,parity
loop activation,1,-0.2215610412548888,-0.0158730158730159,-0.6655719759168035,0.6338259441707716,odd
loop activation,2,0.8401106889920736,0.732905982905983,0.6654456654456654,0.8003663003663004,even
loop activation,3,-0.3437245581322058,-0.1678632478632478,-0.7873504273504273,0.4516239316239316,odd
loop activation,4,0.7621861152141803,0.62,0.5861538461538462,0.6538461538461537,even
loop activation,5,-0.3763523440630427,-0.1547826086956522,-0.6617391304347826,0.3521739130434782,odd
loop activation,6,0.7426967144699902,0.6254940711462451,0.5958498023715416,0.6551383399209486,even
loop activation,7,-0.3492435080417912,-0.1366459627329192,-0.6578204404291361,0.3845285149632976,odd
loop activation,8,0.6670322001794438,0.5571428571428572,0.5376623376623377,0.5766233766233767,even
overload,1,-0.1346562721474132,0.231162196679438,-0.8128078817733991,0.7728516694033934,odd
overload,2,0.8371725383920504,0.8038258038258038,0.7161172161172161,0.9230769230769232,even
overload,3,-0.2391406062292138,0.1783475783475783,-0.8105982905982906,0.7675213675213675,odd
overload,4,0.7639829302987198,0.7033333333333335,0.5884615384615385,0.8653846153846154,even
overload,5,-0.2656762492764808,0.2037681159420289,-0.6426086956521738,0.7399999999999999,odd
overload,6,0.6677749360613812,0.6508563899868248,0.5227272727272728,0.7944664031620554,even
overload,7,-0.3257071286922033,0.2211556559382646,-0.5821569734613213,0.7199322416713722,odd
overload,8,0.5825652841781875,0.5883116883116883,0.5181818181818182,0.6974025974025975,even
