regime_id,segment,cycle_low_exclusive,cycle_high_inclusive,n_cycles,median_memory_coordinate,median_hot_excitation_coordinate,iqr_memory_coordinate,iqr_hot_excitation_coordinate
R1,early,0,5,5,0.06219917401313261,-1.4638476514223482,0.5720903242340709,1.3369463276673388
R1,middle,5,15,10,0.1879689120642201,0.13653052005185556,0.20726860476903664,0.8125409602651494
R1,late,15,30,15,0.14262353753657195,0.5690542153537615,0.12989172880597502,0.2320811627486038
R3,early,0,5,5,-0.3550673595378642,-0.08351829276598395,0.055529789398717166,1.650873083853412
R3,middle,5,15,10,-0.19544447715497076,0.13270888231997596,0.2730645987134477,1.6812709529796366
R3,late,15,30,15,-0.14534076750495112,-0.4771653464025627,0.24063936948225845,1.4372817098958772
R5,early,0,5,5,1.091518080356778,0.6719856502936357,1.6598744621881545,1.9691884985422532
R5,middle,5,15,10,-0.30750611350483564,0.32344785131782944,0.048541883016696985,0.44304036064734
R5,late,15,30,15,-0.2911582870528119,-0.34200325960233474,0.06657157025425342,0.9908895908073478
R6,early,0,5,5,-0.017001180511646383,1.7131082774535478,1.527663245649375,2.022104624866071
R6,middle,5,15,10,-0.5097988895195984,0.44372236190854164,0.09112092731179267,0.7089604114318715
R6,late,15,30,15,-0.10778515660546865,-0.5990790668682923,0.8643167200653725,0.7160189356217227
R6c,early,0,5,5,-0.015101828401007681,2.1535881930603806,0.6152725966561167,1.1878592767314031
R6c,middle,5,15,10,-0.34350092447553093,-0.5394800528112158,0.13527935766595467,0.793325927471642
R6c,late,15,30,15,-0.37353620776756513,-0.27211452900837535,0.07422611669306978,0.24880653886369286
